BACODE,BANAME,BANGENAN,BACO2AN,BACO2RTA,BACO2CRT,BACO2EQA,BAC2ERTA,BAC2ECRT,BAFSC2ERT,ci_total_g_per_kwh,ci_combustion_g_per_kwh,ci_total_co2e_g_per_kwh,ci_combustion_co2e_g_per_kwh,ci_fossilonly_g_per_kwh,ba_ef_kg_per_mwh
SRP,Salt River Project,69384660.994,19136783.686,551.614,1067.265,19174697.94,552.707,1069.38,1069.572,250.20790158518002,484.10326076805006,250.70367804559,485.0626086306001,485.14969836563995,250.20790158518002
SCL,Seattle City Light,4595650.809,2005.092,0.873,470.855,2009.895,0.875,471.983,3081.326,0.39598613901,213.57623537635,0.39689332375,214.08788756971,1397.66596308262,0.39598613901
SEC,Seminole Electric Cooperative,12632925.695,7629231.312,1207.833,1213.639,7666164.186,1213.68,1219.514,1220.452,547.8638330342101,550.49739033443,550.5159876216001,553.16224550818,553.58771515124,547.8638330342101
SCEG,South Carolina Electric & Gas Company,26041806.003,9702642.748,745.159,1197.253,9746965.956,748.563,1202.722,1249.92,337.99843683683,543.06482575961,339.54246526431,545.5455224311401,566.9541751104001,337.99843683683
SC,South Carolina Public Service Authority,18394728.0,15435196.522,1678.22,1766.889,15545399.267,1690.202,1779.504,1855.677,761.2277871814,801.44736903693,766.66273095874,807.16943678448,841.72092838449,761.2277871814
SEPA,Southeastern Power Administration,1387338.002,0.0,0.0,0.0,55.283,0.08,27.607,0.0,0.0,0.0,0.036287389600000004,12.52232455859,0.0,0.0
SOCO,"Southern Company Services, Inc. - Trans",250507243.488,105556386.55,842.741,1152.505,106023498.253,846.471,1157.605,1216.673,382.26088748617,522.76747438685,383.95278702627,525.08079547385,551.87358958501,382.26088748617
SWPP,Southwest Power Pool,279538650.879,121812540.54,871.526,1617.82,122487409.371,876.354,1626.783,1639.967,395.31754385662,733.8308080334,397.50748781898005,737.89635644571,743.8765182517901,395.31754385662
SPA,Southwestern Power Administration,6198796.12,1605780.722,518.094,2358.21,1617174.808,521.771,2374.943,2374.943,235.00348534278004,1069.6660628577001,236.67134448727,1077.2560239849101,1077.2560239849101,235.00348534278004
TEC,Tampa Electric Company,22656395.999,9681647.121,854.65,964.974,9713420.901,857.455,968.141,937.944,387.6627190205,437.70484364838006,388.93504561835005,439.14137068417,425.44424188728,387.6627190205
TVA,Tennessee Valley Authority,164892512.617,52849525.282,641.018,1330.054,53088904.241,643.921,1336.079,1352.342,290.76087383266,603.30234608798,292.07765248277,606.03524011723,613.4120128305401,290.76087383266
TEPC,Tucson Electric Power Company,10246693.53,8306065.525,1621.219,2001.347,8366757.474,1633.065,2015.971,2011.244,735.3725684990301,907.79572892239,740.7458237140501,914.42906374127,912.28493260828,735.3725684990301
TIDC,Turlock Irrigation District,2321094.999,896203.07,772.224,1021.638,897054.004,772.958,1022.608,1022.608,350.27491433088005,463.40720170206004,350.60785113046,463.84718630096,463.84718630096,350.27491433088005
WALC,Western Area Power Administration - Desert Southwest Region,16415918.998,3946997.597,480.874,1079.585,3955193.042,481.873,1081.827,1081.827,218.12077733138003,489.69151876645003,218.57391610901,490.70847285999,490.70847285999,218.12077733138003
WACM,Western Area Power Administration - Rocky Mountain Region,37487778.011,35042402.843,1869.537,2269.542,35281164.341,1882.276,2285.005,2285.81,848.0077186326901,1029.44693459454,853.7860318341201,1036.46083341185,1036.8259752697,848.0077186326901
WAUW,Western Area Power Administration UGP West,3376549.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
