BACODE,COAL,GAS,OIL,OFSL,OTHF,NUCLEAR,BIOMASS,GEOTHERMAL,HYDRO,SOLAR,WIND
NA - HI,0.0,0.0,0.7086848267718049,0.0,0.0,0.0,0.04657170584948124,0.07249711977459632,0.0351211330812411,0.04998923877701255,0.08713597574586401
NA - PR,0.15151238891873509,0.43548453124282493,0.38995007435018625,0.0,0.0,0.0,0.0,0.0,0.00215711682170064,0.014843734761398735,0.006052153905154427
NWMT,0.6513433657626365,0.03742854924079984,0.027698045491716908,0.000542504348832125,0.0,0.0,0.0,0.0,0.18965202841144857,0.013541277902914551,0.07979422884165144
PJM,0.1380315522879734,0.45530040859145154,0.0019102585065364306,0.0051290842625780235,0.0,0.33120546728147804,0.008645259293491378,0.0,0.007838552274906943,0.01735832862098603,0.03458108888059835
DOPD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PACE,0.48108659215136845,0.24553339625462237,0.0006360633650186079,0.006496169170677233,0.0,0.0,0.0015686307396966261,0.008378762736811013,0.01435314779840685,0.0749655086200653,0.1669817291633336
PACW,0.0,0.3513319712596746,0.0,0.0,0.0,0.0,0.04675448244355964,0.0,0.3632773897443226,0.0986777565480661,0.13995840000437704
PGE,0.0,0.7440072347116334,0.0,0.001821348424852232,0.0,0.0,0.002653090963029552,0.0,0.12363533199197356,0.018432840135265086,0.10945015377324614
PSCO,0.16815520961738376,0.38458540603250013,0.0009106938577280057,0.0,0.0,0.0,0.0032018505367979485,0.0,0.005015474470303578,0.08167216214605032,0.3564592033392362
PNM,0.0,0.4037809460475583,3.2630826711409315e-05,0.0,0.0,0.0,0.0007717478869247638,0.002115544960029137,0.0,0.08614752178021692,0.5071516084985594
CHPD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
GCPD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PSEI,0.0,0.7181253502529142,0.001124570890022227,0.017640210312963134,0.0,0.0,0.014363310193536339,0.0,0.061767993080378426,0.002419290555891415,0.18455927471429426
SRP,0.04428967148660261,0.4722071838859658,0.00011159213412002381,0.0,0.0,0.45410558911482374,0.0,0.0,0.004742463695899473,0.02293645523924502,0.0016070444433434333
SCL,0.0,0.0002594620542982464,2.4025541662074194e-05,0.0,0.0,0.0,0.001569745025949872,0.0,0.9981467673780899,0.0,0.0
SEC,0.3063550046316773,0.6866932824126126,0.0014032199248919148,0.0,0.0,0.0,0.0007645893166528958,0.0,0.0,0.004783903714165314,0.0
SCEG,0.1566738678582031,0.4411314166374002,0.001406610463715233,0.00019869225926627277,0.0,0.2885995212529085,0.022975341283382945,0.0,0.018149565439495922,0.07086498480562779,0.0
