Plant latitude,Plant longitude,Plant annual net generation (MWh),Plant primary fuel category
35.9428,-79.9089,293.001,OIL
41.7394,-92.4394,296.0,OIL
39.6088,-84.2921,297.0,GAS
30.12423,-95.45769,297.0,GAS
32.677829,-97.467729,299.001,GAS
44.4533,-110.8347,300.0,OIL
27.665051,-97.28064,300.0,GAS
32.882111,-97.387586,300.0,GAS
32.673532,-97.036234,300.999,GAS
29.721093,-95.646224,303.0,GAS
40.570448,-74.63951,303.0,GAS
27.612565,-99.471825,306.0,GAS
41.168019,-80.752918,308.0,OIL
30.190279,-95.589487,309.0,GAS
29.786159,-95.539403,309.999,GAS
29.545976,-95.235941,311.0,GAS
29.466105,-95.09527,311.001,GAS
32.755036,-97.433843,312.0,GAS
29.380114,-94.953418,312.624,OIL
44.8196,-93.1156,312.998,OIL
25.976057,-97.519445,312.999,GAS
29.894458,-95.06497,314.001,GAS
29.995329,-95.576602,315.0,GAS
32.576636,-97.338514,318.0,GAS
41.798943,-73.116267,319.0,OIL
40.3056,-75.9081,321.0,OIL
32.765261,-97.483775,321.999,GAS
41.8069,-71.53,323.0,BIOMASS
30.077307,-95.51277,324.0,GAS
29.573168,-95.283899,324.0,GAS
29.72355,-95.46539,324.999,GAS
43.4028,-94.8433,324.999,GAS
40.58549,-73.965581,326.0,OIL
39.832769,-97.632038,326.999,GAS
29.679366,-95.5614,327.0,GAS
29.551973,-95.159125,329.001,GAS
32.89517,-97.286531,330.999,GAS
37.6356,-98.745,331.0,GAS
32.847939,-97.18405,332.001,GAS
32.59732,-96.946914,332.001,GAS
28.702031,-100.482722,333.0,GAS
36.680278,-76.921944,333.0,OIL
43.720026,-91.977738,336.46,HYDRO
44.69,-106.1092,337.0,GAS
26.267703,-98.204552,338.001,GAS
29.004862,-95.388434,339.999,GAS
26.260742,-98.315859,339.999,GAS
30.53366,-97.612014,339.999,GAS
41.52679,-72.064935,341.0,OIL
44.595117,-71.494398,343.0,OIL
26.191785,-98.128306,345.999,GAS
41.175556,-71.5711,346.0,OIL
42.8486,-94.8506,347.0,OIL
41.7053,-91.6033,347.0,GAS
38.752347,-77.462918,347.999,OIL
38.725278,-77.509722,350.0,OIL
35.694344,-77.91919,350.0,OIL
29.664286,-95.098302,351.999,GAS
40.622,-93.9326,354.001,OIL
44.4814,-73.2239,357.0,OIL
36.669425,-96.347408,365.0,OIL
38.607456,-89.524514,365.999,OIL
31.8362,-102.4461,367.005,OIL
38.6106,-89.3583,368.0,OIL
44.0833,-93.23,368.0,GAS
29.818196,-95.767961,368.001,GAS
29.998163,-95.486202,369.0,GAS
33.9986,-118.2219,375.0,GAS
29.853797,-95.509083,384.999,GAS
29.920574,-95.602626,384.999,GAS
42.339387,-71.031407,385.0,OIL
31.262356,-85.402737,386.0,OIL
30.518818,-97.65854,386.0,GAS
35.665961,-77.35744,387.0,GAS
42.363094,-92.772322,388.0,OIL
44.4906,-73.1703,388.0,OIL
29.55952,-95.39038,390.0,GAS
29.877618,-95.651482,392.001,GAS
37.507709,-94.839318,393.0,GAS
27.694932,-97.262513,395.0,GAS
29.433657,-98.703454,399.0,GAS
41.4278,-74.4186,408.0,GAS
44.1172,-93.7073,409.0,OIL
39.449185,-90.614119,412.0,OIL
28.851871,-96.996805,413.0,GAS
27.607476,-99.473866,413.0,GAS
29.995621,-95.176468,416.001,GAS
41.916944,-87.845556,419.999,GAS
36.5748,-83.0321,420.002,OIL
29.975997,-95.697345,422.001,GAS
29.783981,-95.804075,423.999,GAS
31.975269,-102.63501,424.005,OIL
38.5444,-76.6861,429.0,OIL
38.764905,-95.192006,436.0,GAS
30.014278,-95.594987,437.001,GAS
43.8294,-105.5322,438.0,GAS
41.3469,-72.0411,446.0,OIL
26.02131,-97.596284,448.005,OIL
26.269683,-97.867012,454.0,BIOMASS
41.362778,-72.0825,455.0,OIL
43.4019,-84.6014,456.0,HYDRO
37.113736,-113.568944,457.0,OIL
43.7219,-105.7689,459.0,GAS
41.375528,-89.464872,459.001,GAS
41.5683,-72.2322,460.0,OIL
41.3367,-72.02,462.0,OIL
39.373966,-97.127211,462.999,GAS
46.4112,-105.7953,464.0,GAS
41.5694,-72.1175,466.0,OIL
40.7052,-73.9807,468.0,OIL
26.19208,-97.664239,471.0,OIL
40.5416,-81.4985,471.0,OIL
43.0802,-89.3747,475.0,OIL
29.845265,-95.553945,475.005,OIL
26.16815,-98.09831,480.0,OIL
29.59576,-95.36578,486.0,OIL
32.295946,-102.54,490.995,OIL
31.921616,-102.431039,495.0,OIL
36.0242,-90.5094,498.999,GAS
29.508402,-95.479339,502.995,OIL
38.615579,-95.279742,504.999,GAS
41.141773,-81.474535,506.997,OIL
32.35123,-102.5577,511.005,OIL
41.768199,-89.674385,521.997,OIL
36.697222,-77.105,524.0,OIL
37.2953,-77.9862,528.0,OIL
